Normal,Inara ID,Internal key,Category,Commodity,Produced By,Consumed By,Combined Totals,Percentage of Total,,Combined Orbital structures,Percentage of Orbital,Combined Surface structures,Percentage of Surface,,Orbital - Starport - Coriolis,Orbital - Starport - Asteroid Base,Orbital - Starport - Ocellus,Orbital - Starport - Orbis,Orbital - Starport - Dodecahedron,Orbital - Outpost - Commercial,Orbital - Outpost - Industrial,Orbital - Outpost - Criminal,Orbital - Outpost - Civilian,Orbital - Outpost - Scientific,Orbital - Outpost - Military,Orbital - Installation - Satellite,Orbital - Installation - Comm Station,Orbital - Installation - Space Farm,Orbital - Installation - Pirate Base,Orbital - Installation - Mining Outpost,Orbital - Installation - Relay Station,Orbital - Installation - Military,Orbital - Installation - Security Station,Orbital - Installation - Government,Orbital - Installation - Medical,Orbital - Installation - Research Station,Orbital - Installation - Tourist,Orbital - Installation - Space Bar,Surface - Planetary Port - Outpost Civilian,Surface - Planetary Port - Outpost Industrial,Surface - Planetary Port - Outpost Scientific,Surface - Planetary Port - Port,Surface - Settlement - Agriculture T1 S,Surface - Settlement - Agriculture T1 M,Surface - Settlement - Agriculture T2 L,Surface - Settlement - Extraction T1 S,Surface - Settlement - Extraction T1 M,Surface - Settlement - Extraction T2 L,Surface - Settlement - Industrial T1 S,Surface - Settlement - Industrial T1 M,Surface - Settlement - Industrial T2 L,Surface - Settlement - Military T1 S,Surface - Settlement - Military T1 M,Surface - Settlement - Military T2 L,Surface - Settlement - Research Bio T1 S,Surface - Settlement - Research Bio T1 M,Surface - Settlement - Research Bio T2 L,Surface - Settlement - Tourism T1 S,Surface - Settlement - Tourism T1 M,Surface - Settlement - Tourism T2 L,Surface - Hub - Extraction,Surface - Hub - Civilian,Surface - Hub - Exploration,Surface - Hub - Outpost,Surface - Hub - Scientific,Surface - Hub - Military,Surface - Hub - Refinery,Surface - Hub - High Tech,Surface - Hub - Industrial,,,,,,,,,,,,,,,,,,,,,Orbital - Starport - Coriolis (Primary),Orbital - Starport - Asteroid Base (Primary),Orbital - Starport - Ocellus (Primary),Orbital - Starport - Orbis (Primary),Orbital - Starport - Dodecahedron (Primary),Orbital - Outpost - Commercial (Primary),Orbital - Outpost - Industrial (Primary),Orbital - Outpost - Criminal (Primary),Orbital - Outpost - Civilian (Primary),Orbital - Outpost - Scientific (Primary),Orbital - Outpost - Military (Primary)
Water,139,water,,Water,"Agricultural, ⊕ Extraction","High Tech, Industrial, Refinery, ⊙ Extraction, Military, Tourism, Terraforming","28,930",1.92 %,,"28,930",2.93 %,0,0.00 %,,1609,1609,6436,6436,7241,621,621,621,621,621,621,22,22,173,65,73,25,238,31,154,278,157,324,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,209","2,209","7,636","7,636","8,441",741,741,741,741,741,741
,,,Consumer Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evacuation Shelter,99,evacuationshelter,,Evacuation Shelter,High Tech,"⊕ Agricultural, ⊕ Industrial, ⊕ Refinery, ⊕ Extraction, ⊕ Military, ⊕ Tourism, ⊕ Terraforming","2,794",0.19 %,,0,0.00 %,"2,794",0.54 %,,,,,,,,,,,,,,,,,,,,,,,,,,204,204,204,816,14,28,42,30,60,90,21,42,63,36,72,108,27,54,81,22,44,66,51,68,36,49,36,75,56,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survival Equipment,164,survivalequipment,,Survival Equipment,Industrial,"⊕ Agricultural, ⊕ High Tech, ⊕ Refinery, ⊕ Extraction, ⊕ Military, ⊕ Tourism, ⊕ Terraforming","1,229",0.08 %,,0,0.00 %,"1,229",0.24 %,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,55,220,14,28,42,15,30,45,14,28,42,24,48,72,14,28,42,15,30,45,26,38,18,29,27,50,28,27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legal Drugs,,,*Note: All legal drugs are prohibited in Prison Colony and Federal Theocracy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer,10,beer,,Beer,"Agricultural, Service","High Tech, Industrial, Refinery, Extraction, Military, Tourism, Terraforming","3,132",0.21 %,,"1,266",0.13 %,"1,866",0.36 %,,,,,,,,,,,,,,,,380,,,,,,,,389,497,,,,,,,,,,,,,,,,,,,,311,622,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquor,11,liquor,,Liquor,"Agricultural, Industrial, Service","High Tech, Refinery, Extraction, Military, Tourism, Terraforming (Also illegal in non-Federal Theocracy)","1,502",0.10 %,,734,0.07 %,768,0.15 %,,,,,,,,,,,,,,,,228,,,,,,,,195,311,,,,,,,,,,,,,,,,,,,,128,256,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wine,14,wine,,Wine,"Agricultural, Service","High Tech, Industrial, Refinery, Extraction, Military, Tourism, Terraforming","1,816",0.12 %,,880,0.09 %,936,0.18 %,,,,,,,,,,,,,,,,,,,,,,,,259,621,,,,,,,,,,,,,,,,,,,,156,312,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Meat,16,animalmeat,,Animal Meat,Agricultural,"High Tech, Industrial, Refinery, Extraction, Military, Tourism, Terraforming",542,0.04 %,,116,0.01 %,426,0.08 %,,,,,,,,,,,,,,,,,,,,,,,,78,38,,,,,,,,,,,,,,,,,,,,71,142,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,17,coffee,,Coffee,Agricultural,"High Tech, Industrial, Refinery, Extraction, Military, Tourism, Terraforming",619,0.04 %,,193,0.02 %,426,0.08 %,,,,,,,,,,,,,,,,,,,,,,,,130,63,,,,,,,,,,,,,,,,,,,,71,142,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish,18,fish,,Fish,Agricultural,"High Tech, Industrial, Refinery, Extraction, Military, Tourism, Terraforming",274,0.02 %,,58,0.01 %,216,0.04 %,,,,,,,,,,,,,,,,,,,,,,,,39,19,,,,,,,,,,,,,,,,,,,,36,72,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Cartridges,19,foodcartridges,,Food Cartridges,Industrial,"High Tech, Refinery, Extraction, Military, Tourism, Terraforming","6,118",0.41 %,,"3,250",0.33 %,"2,868",0.55 %,,242,242,484,484,605,94,94,94,94,94,94,26,26,46,61,52,30,107,37,93,75,76,,,136,136,136,544,42,84,126,45,90,135,41,82,123,36,72,108,41,82,123,,,,51,68,54,174,54,125,56,54,50,,,,,,,,,,,,,,,,,,,,,242,242,484,484,605,94,94,94,94,94,94
Fruit and Vegetables,20,fruitandvegetables,,Fruit and Vegetables,Agricultural,"Agricultural, High Tech, Industrial, Refinery, Extraction, Military, Tourism, Terraforming","4,449",0.30 %,,"1,941",0.20 %,"2,508",0.49 %,,145,145,290,290,363,50,50,50,50,50,50,9,9,69,16,18,10,48,13,37,50,26,65,38,95,95,95,380,63,126,189,30,60,90,28,56,84,24,48,72,27,54,81,71,142,213,34,42,36,87,36,42,38,36,34,,,,,,,,,,,,,,,,,,,,,145,145,290,290,363,50,50,50,50,50,50
Grain,21,grain,,Grain,Agricultural,"High Tech, Industrial, Refinery, Extraction, Military, Tourism, Terraforming",554,0.04 %,,92,0.01 %,462,0.09 %,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,77,154,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tea,22,tea,,Tea,Agricultural,"High Tech, Industrial, Refinery, Extraction, Military, Tourism, Terraforming","1,457",0.10 %,,437,0.04 %,"1,020",0.20 %,,,,,,,,,,,,,,,,,,,,,,,,259,178,,,,,,,,,,,,,,,,,,,,170,340,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Industrial Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceramic Composites,100,ceramiccomposites,,Ceramic Composites,⊕ Refinery,"High Tech, Industrial","33,141",2.20 %,,"22,091",2.24 %,"11,050",2.14 %,,1207,1207,4828,4828,5432,497,497,497,497,497,497,85,85,77,95,86,98,238,122,154,155,157,130,125,814,814,814,4884,28,56,84,59,118,177,55,110,165,60,120,180,41,82,123,43,86,129,252,126,134,145,223,375,279,225,249,,,,,,,,,,,,,,,,,,,,,"1,327","1,327","5,068","5,068","5,672",521,521,521,521,521,521
CMM Composite,140,cmmcomposite,,CMM Composite,⊕ Refinery,"High Tech, Industrial, Military","250,836",16.68 %,,"187,113",18.96 %,"63,723",12.32 %,,11261,11261,45044,45044,50675,3912,3912,3912,3912,3912,3912,,,,,,,356,,,,,,,6776,6776,6776,40656,,,,,,,,,,356,712,1068,,,,,,,,,,,,333,,270,,,,,,,,,,,,,,,,,,,,,,"14,241","14,241","51,004","51,004","56,635","4,508","4,508","4,508","4,508","4,508","4,508"
Insulating Membrane,141,insulatingmembrane,,Insulating Membrane,⊙ Refinery,"High Tech, Industrial, Military","9,829",0.65 %,,"9,829",1.00 %,0,0.00 %,,644,644,1288,1288,1610,311,311,311,311,311,311,106,106,192,95,129,122,178,183,247,309,314,259,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,824,"1,648","1,648","1,970",347,347,347,347,347,347
Polymers,26,polymers,,Polymers,Refinery,"Industrial, Military, Terraforming","29,666",1.97 %,,"15,455",1.57 %,"14,211",2.75 %,,1046,1046,2092,2092,2615,497,497,497,497,497,497,170,170,230,190,215,195,416,243,370,371,377,324,311,678,678,678,2712,91,182,273,118,236,354,109,218,327,119,238,357,115,230,345,114,228,342,672,630,666,,712,708,744,673,664,,,,,,,,,,,,,,,,,,,,,"1,166","1,166","2,332","2,332","2,855",521,521,521,521,521,521
Semiconductors,28,semiconductors,,Semiconductors,Refinery,"Industrial, Terraforming","3,042",0.20 %,,"1,863",0.19 %,"1,179",0.23 %,,161,161,322,322,403,56,56,56,56,56,56,34,34,,,,39,,,,,51,,,102,102,102,408,,,,,,,14,28,42,,,,21,42,63,,,,,,,,72,,,108,75,,,,,,,,,,,,,,,,,,,,,221,221,442,442,523,68,68,68,68,68,68
Superconductors,27,superconductors,,Superconductors,Refinery,"High Tech, Industrial, Terraforming","4,681",0.31 %,,"3,264",0.33 %,"1,417",0.27 %,,282,282,564,564,705,100,100,100,100,100,100,60,60,,,,59,,,,,88,,,136,136,136,544,,,,,,,14,28,42,,,,21,42,63,,,,,,,,72,,,108,75,,,,,,,,,,,,,,,,,,,,,342,342,684,684,825,112,112,112,112,112,112
,,,Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Fabricators,102,buildingfabricators,,Building Fabricators,Industrial,"⊕ Colony, ⊕ High Tech, ⊕ Refinery, ⊕ Extraction, ⊕ Military, ⊕ Tourism","7,217",0.48 %,,0,0.00 %,"7,217",1.40 %,,,,,,,,,,,,,,,,,,,,,,,,,,407,407,407,2442,42,84,126,59,118,177,55,110,165,60,120,180,54,108,162,29,58,87,210,84,89,290,178,333,233,135,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Harvesters,29,cropharvesters,,Crop Harvesters,Industrial,Agricultural,"1,547",0.10 %,,77,0.01 %,"1,470",0.28 %,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,210,420,630,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Power Cells,158,emergencypowercells,,Emergency Power Cells,⊕ Industrial,"⊙ Industrial, Military","2,572",0.17 %,,0,0.00 %,"2,572",0.50 %,,,,,,,,,,,,,,,,,,,,,,,,,,68,68,68,272,84,168,252,96,192,288,28,56,84,24,48,72,27,54,81,15,30,45,42,42,45,49,63,63,47,59,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geological Equipment,103,geologicalequipment,,Geological Equipment,Industrial,"⊕ Colony, ⊕ High Tech, ⊕ Refinery, ⊕ Extraction, ⊕ Military","1,758",0.12 %,,52,0.01 %,"1,706",0.33 %,,,,,,,,,,,,,,,,,26,,,,,,26,,,,,,,,,,52,104,156,,,,,,,27,54,81,,,,210,,621,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbial Furnaces,85,heliostaticfurnaces,,Microbial Furnaces,High Tech,Refinery,907,0.06 %,,0,0.00 %,907,0.18 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,164,246,,,,,,,,,,,,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral Extractors,31,mineralextractors,,Mineral Extractors,Industrial,Extraction,"1,399",0.09 %,,0,0.00 %,"1,399",0.27 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,328,492,,,,,,,,,,,,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Generators,83,powergenerators,,Power Generators,Industrial,"Agricultural, High Tech, Refinery, Extraction, Military, Tourism, Terraforming","1,509",0.10 %,,822,0.08 %,687,0.13 %,,65,65,130,130,163,19,19,19,19,19,19,9,9,8,8,9,10,18,13,13,19,13,13,13,68,68,68,272,,,,,,,,,,,,,,,,,,,,,32,25,36,38,28,27,25,,,,,,,,,,,,,,,,,,,,,65,65,130,130,163,19,19,19,19,19,19
Thermal Cooling Units,105,thermalcoolingunits,,Thermal Cooling Units,Industrial,"⊕ Agricultural, ⊕ High Tech, ⊕ Refinery, ⊕ Extraction, ⊕ Military, ⊕ Tourism, ⊕ Terraforming",515,0.03 %,,0,0.00 %,515,0.10 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,28,42,,,,,,,,,,,,,,,,103,211,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Purifiers,82,waterpurifiers,,Water Purifiers,Industrial,"Agricultural, High Tech, Refinery, Extraction, Military, Tourism, Terraforming","1,476",0.10 %,,"1,476",0.15 %,0,0.00 %,,105,105,210,210,263,38,38,38,38,38,38,13,13,31,16,22,15,42,19,31,38,38,39,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,105,210,210,263,38,38,38,38,38,38
,,,Medicines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agri-Medicines,1,agriculturalmedicines,,Agri-Medicines,High Tech,Agricultural,350,0.02 %,,115,0.01 %,235,0.05 %,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Medicines,33,basicmedicines,,Basic Medicines,"High Tech, Industrial","Agricultural, Refinery, Extraction, Military, Tourism, Terraforming",568,0.04 %,,87,0.01 %,481,0.09 %,,,,,,,,,,,,,,,,,,,24,,,50,13,,,,,,,,,,,,,,,,36,72,108,14,28,42,,,,,,,,72,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combat Stabilisers,34,combatstabilisers,,Combat Stabilisers,*High Tech (*Dictatorship & Anarchy governments only),"*All: Agricultural, Industrial, Refinery, Extraction, Military, Tourism, Terraforming",333,0.02 %,,92,0.01 %,241,0.05 %,,,,,,,,,,,,,,,,,,,48,25,,19,,,,,,,,,,,,,,,,,36,72,108,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminium,37,aluminium,,Aluminium,Refinery,"Industrial, Military","272,843",18.14 %,,"165,834",16.80 %,"107,009",20.69 %,,10055,10055,40220,40220,45248,515,515,515,515,515,515,1322,1322,842,1233,921,1033,1317,1774,1959,1357,1380,1269,1217,7047,7047,7047,42282,559,1118,1677,632,1264,1896,585,1170,1755,593,1186,1779,607,1214,1821,509,1018,1527,2352,2433,2483,2797,2581,2414,2697,2512,2407,,,,,,,,,,,,,,,,,,,,,12555,12555,45220,45220,50248,500,500,500,500,500,500
Copper,40,copper,,Copper,Refinery,Industrial,"17,362",1.15 %,,"11,795",1.20 %,"5,567",1.08 %,,644,644,2576,2576,2898,218,217,218,218,218,218,85,85,46,57,52,88,131,122,93,112,126,78,75,407,407,407,2442,21,42,63,30,60,90,28,56,84,30,60,90,34,68,102,22,44,66,84,68,178,78,112,105,93,113,83,,,,,,,,,,,,,,,,,,,,,764,764,2816,2816,3138,242,242,242,242,242,242
Steel,10487,steel,,Steel,Refinery,"Industrial, Military","428,721",28.51 %,,"271,903",27.55 %,"156,818",30.33 %,,14076,14076,56304,56304,63342,5588,5588,5588,5588,5588,5588,2542,2542,1912,1707,2141,2437,2966,3645,3080,3084,3136,2598,2483,10164,10164,10164,60984,768,1536,2304,1028,2056,3084,1019,2038,3057,949,1898,2847,945,1890,2835,707,1414,2121,3359,3775,3547,4051,3560,3746,3720,3768,3320,,,,,,,,,,,,,,,,,,,,,19436,19436,67024,67024,74062,6660,6660,6660,6660,6660,6660
Titanium,48,titanium,,Titanium,Refinery,"Industrial, Military","224,590",14.93 %,,"172,750",17.51 %,"51,840",10.03 %,,8205,8205,32820,32820,36923,4843,4843,4843,4843,4843,4843,1525,1525,1453,1594,1628,1755,2373,2309,2341,2282,2383,1813,1738,5760,5760,5760,34560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11660,11660,39730,39730,43833,5534,5534,5534,5534,5534,5534
,,,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Catalysers,61,advancedcatalysers,,Advanced Catalysers,High Tech,Refinery,"1,142",0.08 %,,44,0.00 %,"1,098",0.21 %,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,41,82,123,,,,95,190,285,,,,,,,,170,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto-Fabricators,65,autofabricators,,Auto-Fabricators,High Tech,Industrial,314,0.02 %,,314,0.03 %,0,0.00 %,,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,,,,,,
Bioreducing Lichen,66,bioreducinglichen,,Bioreducing Lichen,High Tech,Extraction,"1,858",0.12 %,,172,0.02 %,"1,686",0.33 %,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,162,324,486,,,,,,,,,,,,,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Components,67,computercomponents,,Computer Components,Industrial,"High Tech, Military","3,984",0.26 %,,"1,827",0.19 %,"2,157",0.42 %,,145,145,290,290,363,50,50,50,50,50,50,22,22,12,19,13,25,42,31,13,31,38,13,13,102,102,102,408,14,28,42,30,60,90,28,56,84,42,84,126,41,82,123,15,30,45,38,21,49,25,67,75,42,68,38,,,,,,,,,,,,,,,,,,,,,205,205,410,410,483,62,62,62,62,62,62
H.E. Suits,68,hazardousenvironmentsuits,,H.E. Suits,High Tech,"Industrial, Refinery, Extraction, Military","1,137",0.08 %,,70,0.01 %,"1,067",0.21 %,,,,,,,,,,,,,,,,,13,,,,,25,32,,,,,,,,,,15,30,45,14,28,42,,,,27,54,81,,,,126,,249,,156,,117,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Enrichment Systems,71,terrainenrichmentsystems,,Land Enrichment Systems,High Tech,"Agricultural, Terraforming",896,0.06 %,,0,0.00 %,896,0.17 %,,,,,,,,,,,,,,,,,,,,,,,,,,68,68,68,272,70,140,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Diagnostic Equipment,154,medicaldiagnosticequipment,,Medical Diagnostic Equipment,High Tech,Military,"1,184",0.08 %,,441,0.04 %,743,0.14 %,,25,25,50,50,63,13,13,13,13,13,13,,,,,,,,,,99,51,,,48,48,48,192,,,,,,,,,,,,,41,82,123,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,25,25,50,50,63,13,13,13,13,13,13
